shortname,longname
gvkey,gvkey
year,Year
assets,Assets
capex,Capital Expenditure
ebitda,EBITDA
sales,Sales
rdex,R&D Expenditure
sic,SIC
naics,NAICS
company,Company
city,City
countryabbr,Country (3-Letter)
ipodate,IPO Date
patentcount,Patent Count
country,Country
region,Region
lat,Latitude
lon,Longitude
ffcode,Fama-French Industry Code (12)
ffname,Industry (Fama-French 12)
