year,country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,region
1987,Belgium,1,49,0,0,NaN,0,0,Europe
1987,Canada,22,198,774.19,4372.77,3115.43,47154.11,8633.94,North America
1987,Finland,1,8,9.06,20.62,418.97,355.31,36.45,Europe
1987,France,2,112,1268.85,1371.52,10852.63,17275.16,1785.4,Europe
1987,Ireland,5,421,317.1,438.72,1719.12,10690.58,1421.77,Europe
1987,Israel,2,23,14.42,15.04,176.6,270.8,21.69,Other
1987,Italy,1,5,215,819,17880,11090,1381,Europe
1987,Japan,154,11227,21252.16,27479.27,6341.64,995300.65,68478.99,Asia Pacific
1987,Luxembourg,1,6,0,27.8,2141.4,488.7,42.4,Europe
1987,Netherlands,4,837,3349.58,4243.75,11909.1,60647.86,6338.49,Europe
1987,Norway,1,4,106.13,1271.12,9721.97,8764.08,1230.6,Europe
1987,Panama,1,41,175.12,84.3,1144.6,1129.2,337.7,North America
1987,Singapore,1,2,9.02,1.1,83.98,66.86,0.44,Asia Pacific
1987,South Africa,1,1,0,1.65,5.68,2.14,-0.59,Other
1987,Sweden,4,115,1456.88,1730.13,7907.82,36535.41,3366.22,Europe
1987,Switzerland,3,26,0,1249.44,6607.53,27728.78,3802.13,Europe
1987,United Kingdom,14,385,3506.21,14127.74,11199.78,138669.23,25391.2,Europe
1987,United States,699,15608,46453.6,108037.42,2402.15,1590815.59,244009.21,North America
1988,Antigua and Barbuda,1,5,0,7.41,110.87,91.42,12.71,North America
1988,Australia,1,1,3.89,4.81,98.74,219.25,19.28,Asia Pacific
1988,Belgium,1,66,0,0,588,0,120.65,Europe
1988,Canada,18,161,892.37,5657.91,4136.47,49680.64,10307.32,North America
1988,Finland,1,4,11.01,17.21,486.59,380.56,36.18,Europe
1988,France,2,126,1110.18,1510.86,14635.23,18311.46,4160.8,Europe
1988,Germany,1,95,2675.14,3623.06,29283.89,42651.71,3032.65,Europe
1988,Ireland,6,422,358.38,586.83,1630.32,12324.96,1617.95,Europe
1988,Israel,2,10,16.48,18.98,202.4,329.21,35.75,Other
1988,Italy,1,21,310,779,14642,10267,1898,Europe
1988,Japan,163,11109,22939.27,30858.41,6697.22,1088266.41,86313.87,Asia Pacific
1988,Luxembourg,1,6,0,0,NaN,0,0,Europe
1988,Netherlands,5,707,3147.72,3838,9447.57,56849.8,6038.93,Europe
1988,Norway,2,13,144.99,1072.6,5451.95,9539.89,1670.55,Europe
1988,Panama,1,42,217.9,111.5,1443.7,1271.5,381.1,North America
1988,Singapore,1,4,8.97,1.73,90.91,83.5,9.9,Asia Pacific
1988,South Africa,1,1,0,1.81,7.29,3.26,-0.77,Other
1988,Sweden,4,85,1517.93,1940.14,8195.95,36031.5,3545.15,Europe
1988,Switzerland,2,26,0,1304.67,11069.22,27142.26,3727.18,Europe
1988,United Kingdom,22,434,4084.46,16927.7,7733.44,154820.23,29428.5,Europe
1988,United States,723,14544,48244.74,125126.76,3179.29,1764336.46,292290.14,North America
1989,Antigua and Barbuda,1,12,0,3.16,118.33,98,14.63,North America
1989,Australia,2,61,3.03,0,2326.27,2111.06,558.68,Asia Pacific
1989,Belgium,2,106,0,0,986.06,723.74,228.84,Europe
1989,Canada,21,192,1206.6,8704.18,4410.37,49844.85,11979.95,North America
1989,Denmark,2,15,0,0,489.8,1039.69,489.03,Europe
1989,Finland,3,47,300.15,28.79,3002.89,8563.78,616.41,Europe
1989,France,15,427,4430.64,1999.07,9401.1,131445.88,17380.26,Europe
1989,Germany,21,2641,12795.56,4311.4,9942.25,265969.54,27774.15,Europe
1989,Ireland,7,498,392.97,620.29,1496.01,13800.76,1794.52,Europe
1989,Israel,6,27,64.71,40.36,160.77,857.71,94.82,Other
1989,Italy,3,55,1043.68,676,24324.58,46977.35,7885.95,Europe
1989,Japan,170,13812,23370.47,38647.83,6500.56,1058784.23,88116.29,Asia Pacific
1989,Luxembourg,1,7,0,0,NaN,0,0,Europe
1989,Netherlands,8,976,3545.93,4203.84,8030.98,76240.51,8487.54,Europe
1989,New Zealand,1,3,0,0,224.17,296.83,23.34,Asia Pacific
1989,Norway,3,13,166.8,1332.14,3688.09,10522.98,1741.4,Europe
