year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1987,6,214,7906,21785.62,20542.1,1655.56,329767.37,44799.05
1987,7,14,1317,4901.19,31261.73,20870.92,179768.38,56923.99
1987,8,9,27,0,5908.35,12479.08,28608.6,12434.74
1987,9,21,733,42.01,3117.54,9765.38,320029.26,9847.15
1988,NA,1,1,0,0,354.14,312.31,42.48
1988,1,50,300,1239.81,8627.9,3494.22,182512.07,26882.11
1988,10,122,2480,10066.86,9213.91,1188.3,131947.07,23347.4
1988,11,9,14,2.52,55.54,26554.35,35742.66,7428.35
1988,12,37,1023,2363.28,9048.92,4985.91,117480.21,19318.83
1988,2,76,3411,14999.84,26280.84,8323.35,575356.84,64667.59
1988,3,291,6982,18791.32,30018.94,2725.47,738661.58,87528.72
1988,4,26,1262,2875.95,35973.29,14477.51,350810.73,57121.08
1988,5,83,2987,8250.71,15873.26,3341.57,282267.94,40384.83
1988,6,222,7521,24502.82,25584.82,1927.81,378470.98,56802.38
1988,7,8,1083,2553.02,21887.18,26086.89,110763.58,39959.42
1988,8,10,31,0,7078.96,13585.85,38396.28,15423.25
1988,9,24,787,37.3,3745.82,10207.98,329878.78,5739.4
1989,1,54,407,1686.43,9679.09,3634.41,203369.95,34421.4
1989,10,152,3355,12735.18,11170.2,1325.47,171881.03,31492.7
1989,11,14,22,39.61,1137.19,29320.73,72338.91,8946.87
1989,12,38,2149,6280.51,11236.15,6514.61,163364.73,26439.6
1989,2,89,4208,18892.6,35622.91,8441.14,688768.63,83829.76
1989,3,313,9322,20202.68,38009.91,2988.11,842750.55,99779.74
1989,4,29,1674,3487.56,33191.46,15202.97,413746.77,61934.25
1989,5,99,5156,13750.33,18229,3947.43,420952.73,59852.57
1989,6,242,9330,29292.5,29431.56,1949.58,425274.82,61152.53
1989,7,13,1151,3024.28,24845.43,18583.24,129503.22,44997.8
1989,8,10,30,0,6895.69,12954.65,38838.15,14860.84
1989,9,25,1134,270.27,2584.24,10740.8,328450.09,5734.36
1990,NA,1,2,0,0,500.81,369.12,44.37
1990,1,55,355,2149.87,12656.89,4838.01,278810.85,42532.87
1990,10,166,3179,16727.03,13930.93,1535.23,205100.94,37608.27
1990,11,10,16,45.29,158.18,4716.81,7452.36,2499.8
1990,12,46,2030,7490.93,9777.42,6587.18,193445.62,28843.09
1990,2,93,4126,23504.32,40201.29,9780.3,778792.52,76670.42
1990,3,313,8723,23622.86,44487.26,3494.67,965243.36,100503.42
1990,4,26,1433,3706.34,34241.72,17545.38,466672.62,66399.77
1990,5,100,5258,15893.12,21879.98,4512.54,487407.98,63339.86
1990,6,243,8727,32897.88,31796.89,2305.73,479597.77,67224.24
1990,7,14,1186,6128.21,38389.66,24126.99,204448.13,59195.55
1990,8,5,27,0,5911.35,19384.52,22080.12,9705.9
1990,9,18,1336,385.78,2471.91,10508.34,330362.52,7520.15
1991,NA,1,3,0,0,538.91,396.1,41.67
1991,1,68,363,2515.53,13518.87,4169.64,301630.12,50778.15
1991,10,187,3689,18988.23,14267.61,1429.97,224104.15,43449.31
1991,11,11,24,1.43,22.34,23351.14,38497.88,7636.24
1991,12,39,2013,7681.19,14140.32,8968.06,210155.35,29993.63
1991,2,94,4347,22810.4,43899.9,10213.72,829652.66,67189.64
1991,3,317,9522,25185.32,40578.86,3719.23,1002259.64,92471.3
1991,4,31,1514,4040.05,37460.66,15432.88,446511.86,57990.73
1991,5,102,5573,16176.92,18242.6,4552.72,494999.72,53828.14
1991,6,260,10112,35889.03,32981.72,2341.95,497079.12,59984.91
1991,7,14,1231,3618.07,35761.98,24185.92,167218.86,57638.93
1991,8,11,32,0,8821.72,12794.19,40133.98,16278.59
1991,9,25,1295,426.74,3813.14,11605.84,367307.18,6501.55
1992,NA,1,1,0,0,640.77,450.65,47.58
1992,1,59,445,2213.35,12973.1,5378.11,319387.18,46053.74
1992,10,226,3751,23203.55,16205.2,1325.24,244519.44,47994.97
1992,11,13,21,32.17,848.6,3927.03,9137.86,2823.28
1992,12,55,2159,9048.52,9742.46,6943.12,201023.11,30183.85
1992,2,102,4367,22665.12,38543.45,9572.34,873414.83,66382.18
1992,3,345,10032,27856.94,40391.21,3777.87,1065954.54,91145.46
1992,4,30,1519,3111.3,31712.4,15123.17,425466.93,51194.34
1992,5,110,5841,16025.71,17028.18,4439.27,498133.94,50150.51
1992,6,282,11238,38016.98,34191.53,2310.64,537365.63,66901.59
1992,7,15,1150,6892.07,36087.54,24953.69,229196.22,63431.07
1992,8,6,21,0,7980.93,21248.32,32993.13,12748.42
1992,9,24,1265,307.67,2678.06,8179.56,336677.3,5881.35
1993,NA,1,3,0,0,741.26,511.19,59.91
1993,1,57,493,2166.09,12845.97,4930.92,321291.57,45227.23
1993,10,243,4040,24057.69,15600.74,1305.52,246112.27,49126.89
1993,11,18,41,45.89,438.03,27375.02,60373.26,20845.81
1993,12,67,2182,7912.11,14645.66,8178.95,257946.72,37958.76
1993,2,113,4287,24004.14,43592.14,9694.77,943415.61,74888.3
1993,3,335,10397,28589.73,33270.69,3978.1,1074734.69,86560.91
1993,4,36,1467,3996.85,35092.89,14999.18,491463.45,59612.44
1993,5,112,6068,16009.51,17324.06,4427.54,491668.31,49428.12
1993,6,304,12755,40788.44,34914.5,2408.48,601761.89,73027.76
1993,7,15,1051,4258.11,42048.23,25130.38,191086.19,63182.63
1993,8,10,26,0,12187.86,21187.58,59057.65,21500.78
1993,9,28,1325,470.15,4214.54,10809.81,442268.03,5576.86
1994,NA,1,2,0,0,918.66,625.1,79.16
1994,1,56,504,2540.48,12100.47,5344.78,354365.68,47372.77
1994,10,254,3960,27006.01,16646.49,1518.02,282479.08,58106.55
1994,11,15,55,46.37,666.4,26044.34,49241.18,13581.3
1994,12,80,2244,8184.54,27766.46,7011.19,352909.78,42450.47
1994,2,110,4371,26828.96,56952.04,11126.44,1064331.9,105596.85
1994,3,384,10454,31771,42886.61,3945.88,1235776.81,116265.09
1994,4,42,1499,4306.01,37183.03,13771.04,500669.09,63950.76
1994,5,117,5707,17544.18,22577.95,4912.91,556459.59,62914.82
1994,6,366,14711,44999.89,44666.26,2204.54,707569.64,96184.12
1994,7,22,1195,7958.54,61217.3,27568.99,355954.98,110346.72
1994,8,12,63,0,7822.38,36455.22,146014.23,34993.56
1994,9,26,1460,467.06,3448.67,8971.36,438451.82,7004.56
1995,NA,1,8,0,0,774.47,516.6,88.75
1995,1,75,576,2793.41,13789.26,4544.72,387514.18,55492.12
1995,10,285,4373,30774.85,18503.98,1413.04,304203.73,64044.43
1995,11,23,68,54.51,1464.51,19233.63,63208.59,12503.32
1995,12,76,2069,11690.39,27691.92,6748.46,326439.2,51487.38
1995,2,126,4315,31499.72,67874.15,10099.89,1137901.32,117307.99
1995,3,382,10351,30921.42,50117.1,3706.59,1252044.88,157746.88
1995,4,42,1243,4266.86,40304.74,13706.32,521159.29,74539.08
1995,5,127,5401,18073.69,26197.17,4583.91,596994.52,84150.46
1995,6,403,15656,49583.4,56898.52,2117.16,791361.74,117524.03
1995,7,27,1128,7958.14,57202.85,22390.49,351870.44,110719.6
1995,8,14,56,0,17153.49,34227.63,160628.99,45183.92
1995,9,31,1496,456.09,5110.51,7580.4,421849.61,11248.87
1996,NA,1,10,0,0,646.55,463.31,79.44
1996,1,85,606,3365.37,15823.19,4220.42,395400.89,57430.25
1996,10,337,5103,36122.94,21713.86,1329.61,346513.83,75232.35
1996,11,22,92,81.94,1826.13,18674.3,48793.32,15925.28
1996,12,82,2433,12077.98,32345.07,8679.52,440691.26,65849.44
1996,2,134,4511,31035.17,80338.93,9302.46,1078671.26,115406.41
1996,3,414,10892,32153.67,57380.36,3452.47,1285385.08,158516.62
1996,4,45,1171,4593.65,48416.45,13993.85,633084.92,92747.02
1996,5,123,5531,17947.94,28655.61,4727.11,594486.29,81319.81
1996,6,464,19283,56214.88,69685.53,2019.32,872250.41,125685.51
1996,7,31,1036,5974.07,73734.92,22418.07,419966.63,128027.18
1996,8,16,39,0,16855.93,19274.07,104632.46,30493.58
1996,9,30,1502,346.58,4810.97,6629.82,312252.25,7874.6
1997,NA,1,13,0,0,562.79,383.5,64.09
1997,1,87,617,2893.24,15542.51,4300.18,397991.7,63339.55
1997,10,384,6303,42919.73,21389.31,1211.85,353139.38,79738.07
1997,11,28,107,109.39,191.57,14471.03,37813.13,13612.26
1997,12,80,2277,12338.73,34208.08,9020.73,450103.47,59555.41
1997,2,132,4862,30465.05,91699.43,9613.74,1070830.8,129536.81
1997,3,413,10807,32085.6,54420.67,3425.88,1262829.33,156597.63
1997,4,44,1060,4591.92,54997.57,13518.93,610771.92,92597.48
1997,5,123,5854,19236.55,31276.26,4777.23,587397.8,82962.2
1997,6,481,20472,64711.13,66049.97,2004.86,895568.04,138256.53
1997,7,36,502,4916.01,92384.24,23812.79,474973.63,159374.09
1997,8,18,50,0,12275.46,24623.77,154272.99,40248.31
1997,9,26,1405,339.05,6499.53,9187.41,358882.21,12651.1
1998,NA,1,12,0,0,637.83,382.2,53.81
1998,1,93,797,4327.16,15531.12,4587.34,439103.89,68841.38
1998,10,438,8228,47060.22,23904.11,1214.68,390524.28,89444.42
1998,11,35,133,191.86,3827.68,49807.89,194453.37,65328.83
1998,12,108,3174,14491.3,24958.8,7416.8,397934.24,66302.71
1998,2,152,6382,41195.6,117913.08,9650.2,1305579.02,165864.37
1998,3,430,14223,36046.46,61885.08,3601.61,1373320.16,159431.12
1998,4,43,1187,4639.38,62328.87,14569.6,525970.23,72340.01
1998,5,134,6811,22137.84,29142.66,4993.35,600716.19,81713.68
1998,6,585,30033,78956.44,67680.2,1854.96,1013607.98,151244.28
1998,7,35,821,5946.02,99185.16,28529.14,513123.47,178586.89
1998,8,19,61,1.25,20192.61,27068.42,173757.07,46512.32
1998,9,35,1706,420.13,5557.43,5927.58,326852.3,10536.39
1999,NA,1,14,14.34,13.03,720.89,447.78,73
1999,1,83,913,4767.17,15357.06,4840.47,426321.37,64851.67
1999,10,453,8215,49408.12,27041.25,1317.66,428839.29,96559.74
1999,11,47,180,265.99,4351.25,60749.35,267904.74,130861.75
1999,12,101,3640,15129.87,30555.47,8558.27,414793.5,68020.94
1999,2,139,7213,51297.45,132260.53,11888.99,1383881.26,174701.28
1999,3,435,14762,44654.3,79389.1,4099.79,1519606.75,182200.8
1999,4,50,1246,3931.18,57760.27,16579.65,673533.59,99254.57
1999,5,141,6992,23485.46,39270.44,5044.82,600208.63,82307.53
1999,6,610,32071,84411.24,76238.29,2199.4,1158577.16,193743.18
1999,7,42,927,6889.07,133939.92,38370.02,658393.4,222230.27
1999,8,19,53,1031.41,37773.02,29484.36,194157.91,65501.46
1999,9,39,1648,613.96,12964.13,7623.46,417751.48,19270.47
2000,NA,1,14,12.76,15.11,615.25,394.8,64.84
2000,1,88,911,4769.62,16265.92,4826.15,440227.08,69841.46
2000,10,451,7951,57363.93,30623.74,1459.84,468113.09,112965.07
2000,11,56,231,315.43,5961,82657.73,454553.86,168720.26
2000,12,127,3848,14240.31,49513.94,8513.33,581006.53,102789.62
2000,2,149,7461,50269.04,131089.9,11377.94,1378480.74,168916.96
2000,3,461,15573,43301.07,78419.11,3887.43,1515685.94,199047.71
2000,4,53,1392,4234.48,62340.75,17822.86,1057952.61,187588
2000,5,137,6768,21157.71,33771.51,5394.35,639114.08,91907.89
2000,6,647,34761,100502.54,104776.71,2508.08,1315529.34,230923.77
2000,7,47,933,6516.6,165142.48,46018.21,730813.37,249413.14
2000,8,29,71,236.04,36590.35,21726.62,274721.65,50485.46
2000,9,40,1608,896.58,16715.97,7795.35,461163.12,25110.83
2001,NA,1,7,12.92,13.11,550.11,357,53.09
2001,1,80,918,4927.73,16287.46,6258.61,486252.59,76859.46
2001,10,472,8382,65747.49,30455.72,1520.13,482926.32,118961.72
2001,11,58,269,439.47,4670.1,59192.15,339006.76,114217.97
2001,12,129,4235,13975.7,43355.22,9044.83,605622.06,79720.16
2001,2,142,8268,49833.66,124626.69,12316.08,1363416.15,144403.23
2001,3,441,16196,47914.63,79385.34,4117.62,1514562.24,167775.88
2001,4,46,1211,3884.07,59279.87,18963.44,901178.76,159088.3
2001,5,137,6997,21434.15,32527.08,5235.19,611761.81,81336.99
2001,6,688,39096,105999.84,95617.29,2434.44,1269737.7,141541.08
2001,7,44,948,6944.65,141805.8,47971.1,726130.75,237176.97
2001,8,27,72,232.14,33185.65,24185.76,310977.98,68883.67
2001,9,50,1847,1045.74,21202.53,7803.88,692785.94,37364.96
2002,NA,1,6,16.11,13.95,578.01,387.03,48.65
2002,1,83,863,4986.07,17536.65,6350.4,520814.45,84560.29
2002,10,463,8821,73094.43,33861.37,1667.65,535402.13,131433.34
2002,11,48,276,516.97,10335.53,109315.43,385826.15,177939.89
2002,12,120,4721,12787.58,39658.39,9147.1,535431.08,83031.48
2002,2,141,8492,57254.4,131413.09,14415.5,1575720.85,178724.66
2002,3,448,17279,49722.27,72896.68,4232.41,1607461.41,179496.14
2002,4,49,1230,4471.74,88900.98,20548.73,938374.8,157062.18
2002,5,136,7076,22158.89,33778.65,5751.67,666483.79,92430.21
2002,6,677,40085,99479.14,71268.43,2455.28,1230075.38,162289.83
2002,7,52,1164,8189.06,117913.12,38718.95,830656.04,255419.44
2002,8,22,59,232.02,29355.75,24273.58,207197.62,53482.8
2002,9,40,1974,918.05,26164.36,10961.91,765533.26,47535.01
2003,NA,1,21,19.32,16.7,678.91,483.33,59.87
2003,1,76,862,5233.92,17843.98,7314.1,520183.44,86367.96
2003,10,473,8965,82997.06,35830.58,1964.14,564641.06,147978.69
2003,11,61,327,551.25,9977.13,140867.17,573438.07,228902.03
2003,12,98,4439,12388.87,38373.28,12220.95,638284.74,99734.37
2003,2,144,8460,67431.27,145177.73,16227.3,1798402.97,202208.69
2003,3,429,18139,56140.02,76844.72,4941.39,1788797.69,195389.31
2003,4,47,1335,3907.1,87717.22,21835.47,1069266.69,183088.23
2003,5,143,6518,24091.43,36095.09,6115.5,756445.78,102554.5
2003,6,707,42654,104251.31,71129.85,2555.54,1427431.21,209445.51
2003,7,52,1058,8698.2,107690.46,38180.8,901471.55,292246.87
2003,8,20,62,223.7,21181.69,23888.37,180458.1,46410.42
2003,9,43,1897,1031.13,23159.23,9953.86,759087.05,47001.1
2004,NA,1,16,20.19,18.09,679.76,514.53,64.88
2004,1,76,808,5674.63,18360.13,8023.89,612182.42,92813.16
2004,10,460,7351,92253.29,35397.67,2335.2,612994.21,165371.69
2004,11,54,373,506.55,14205.69,157480.97,561114.82,253328.43
2004,12,107,4476,13427.86,53255.87,14147.25,810020.51,131358.24
2004,2,136,8675,71967.22,166241.28,18393.86,1935915.81,221514.94
2004,3,407,18478,58097.42,89020.06,5443.02,1972000.22,250140.15
2004,4,49,1385,5064.54,121927.46,27934.5,1507838.41,282331.48
2004,5,129,5599,24373.03,35965.39,7307.25,842550.51,124743.3
2004,6,693,44910,113490.33,107066.32,2839.35,1636885.73,263905.22
2004,7,49,1273,8713.07,116653.05,40382.23,947421.1,307820.92
2004,8,27,59,215.19,24791.67,20006.56,203318.38,53248.1
2004,9,38,1405,1118.17,34296.1,14029.34,1000682.6,66809.54
2005,NA,1,12,21.04,18.96,655.44,504.43,62.6
2005,1,60,690,5786.06,17095.08,9214.12,502345.83,85218.94
2005,10,420,6171,91442.75,33937.65,2553.4,639943,173083.11
2005,11,63,382,562.54,6526.37,148642.04,555384.9,276862.53
2005,12,93,3922,13719.75,46715.28,12545.32,655170.86,111515.48
2005,2,129,7796,69008.28,170666.17,18687.78,1856831.26,191079.09
2005,3,374,15819,56012.68,94112.2,5889.06,1966815.94,260760.99
2005,4,48,1183,4744.45,106669.31,27362.73,1581908.23,307588.71
2005,5,133,4225,23034.91,41135.25,7163.83,882676.99,131373.34
2005,6,672,41009,111642.41,109246.19,2938.18,1666560.96,273156.38
2005,7,43,959,6465.3,111889.25,43556.09,832508.24,271636.51
2005,8,24,62,177.6,27249.52,24746.22,228397.35,55847.83
2005,9,46,1153,1269.83,42711.84,14814.25,1193141.01,84704.08
2006,NA,1,16,20.24,21.6,697.12,551.33,76.85
2006,1,72,838,7297.81,21672.46,8851.97,582089.85,97459.51
2006,10,447,7710,113146.57,37271,2653.74,697972.54,189946.56
2006,11,65,638,639.74,19451.92,234988.21,1078998.52,506007.17
2006,12,108,4687,15077.85,64587,15630,913514.7,150598.22
2006,2,130,9527,75523.65,198216.4,18641.08,2125702.03,220184.8
2006,3,384,19435,61282.84,106561.56,6250.2,2171522.7,293182.41
2006,4,49,1484,5703.99,154922.89,31625.26,1802824.51,382452.03
2006,5,125,4578,24365.41,50356.74,8913.15,938569.07,146389.93
2006,6,667,51380,131248.7,124596.43,3440.06,1931139.89,304186.38
2006,7,49,1093,7095.23,136081.07,45045.48,974960.23,311142.91
