gvkey,year,company,city,country_code,sector_code,patentcount,country,region
104604,2014,Samsung Electronics Co Ltd,Suwon,KOR,45,7562,South Korea,Asia Pacific
2721,2014,Canon Inc,Tokyo,JPN,45,4229,Japan,Asia Pacific
18467,2014,Fujitsu Ltd,Tokyo,JPN,45,2368,Japan,Asia Pacific
9135,2014,Ricoh Co Ltd,Tokyo,JPN,45,1807,Japan,Asia Pacific
257018,2014,Seiko Epson Corp,Suwa,JPN,45,1701,Japan,Asia Pacific
203177,2014,Hon Hai Precision Industry Co Ltd,New Taipei City,TWN,45,1596,Taiwan,Asia Pacific
201395,2014,Taiwan Semiconductor Manufacturing Co Ltd,Hsinchu City,TWN,45,1482,Taiwan,Asia Pacific
7652,2014,Nec Corp,Tokyo,JPN,45,1216,Japan,Asia Pacific
100519,2014,Brother Industries Ltd,Nagoya,JPN,45,1181,Japan,Asia Pacific
4925,2014,Fujifilm Holdings Corp,Tokyo,JPN,45,1072,Japan,Asia Pacific
7908,2014,Nippon Telegraph and Telephone Corporation,Tokyo,JPN,50,409,Japan,Asia Pacific
102450,2014,Nintendo Co Ltd,Kyoto,JPN,50,248,Japan,Asia Pacific
203480,2014,SK Telecom Co Ltd,Seoul,KOR,50,71,South Korea,Asia Pacific
200595,2014,Konami Group Corporation,Tokyo,JPN,50,66,Japan,Asia Pacific
270615,2014,Tencent Holdings LTD,Shenzhen,CHN,50,54,China,Asia Pacific
133104,2014,KT Corporation,Seongnam-si,KOR,50,49,South Korea,Asia Pacific
271885,2014,DeNA Co Ltd,Tokyo,JPN,50,37,Japan,Asia Pacific
201584,2014,KDDI Corp,Tokyo,JPN,50,32,Japan,Asia Pacific
315992,2014,NHN Corp,Seongnam-si,KOR,50,32,South Korea,Asia Pacific
221489,2014,Square Enix Hldgs Co Ltd,Tokyo,JPN,50,25,Japan,Asia Pacific
30874,2014,Korea Electric Power Corp,Naju-Si,KOR,55,26,South Korea,Asia Pacific
100302,2014,Kansai Electric Power Co Inc,Osaka,JPN,55,8,Japan,Asia Pacific
100488,2014,Kyushu Electric Power Co Inc,Fukuoka City,JPN,55,5,Japan,Asia Pacific
100846,2014,Osaka Gas Co Ltd,Osaka,JPN,55,5,Japan,Asia Pacific
271031,2014,Electric Power Development Co Ltd,Tokyo,JPN,55,5,Japan,Asia Pacific
326073,2014,Gulf Energy Development Public Company Limited,Bangkok,THA,55,5,Thailand,Asia Pacific
100688,2014,Tokyo Electric Power Co Holdings Inc,Chiyoda,JPN,55,4,Japan,Asia Pacific
239856,2014,Korea Gas Corp,Daegu,KOR,55,3,South Korea,Asia Pacific
100848,2014,Tokyo Gas Co Ltd,Tokyo,JPN,55,2,Japan,Asia Pacific
102311,2014,Hokuriku Electric Power Co Inc,Toyama,JPN,55,2,Japan,Asia Pacific
200477,2014,Peking University Resources (Holdings) Co Ltd,Causeway Bay,HKG,60,28,"Hong Kong, SAR China",Asia Pacific
100436,2014,Daikyo Inc,Tokyo,JPN,60,12,Japan,Asia Pacific
203386,2014,Cytori Cell Research Institute Inc,Tokyo,JPN,60,4,Japan,Asia Pacific
282105,2014,Embassy Developments Limited,Mumbai,IND,60,4,India,Asia Pacific
258161,2014,Times Universal Group Holdings Ltd,Sheung Wan,HKG,60,1,"Hong Kong, SAR China",Asia Pacific
270319,2014,Meiho Enterprise Co Ltd,Tokyo,JPN,60,1,Japan,Asia Pacific
271226,2014,NCT Alliance Berhad,Puchong,MYS,60,1,Malaysia,Asia Pacific
321386,2014,Suntory Holdings Ltd,Tokyo,JPN,NA,78,Japan,Asia Pacific
202875,2014,KDK Corp,Kyoto,JPN,NA,51,Japan,Asia Pacific
332577,2014,Supernet Technologies Ltd,Karachi,PAK,NA,11,Pakistan,Asia Pacific
268456,2014,Nippon Life Insurance Co,Osaka,JPN,NA,1,Japan,Asia Pacific
343415,2014,Sync Power Corp,Taipei,TWN,NA,1,Taiwan,Asia Pacific
24625,2014,TotalEnergies SE,Courbevoie,FRA,10,150,France,Europe
102983,2014,Viridien Societe anonyme,Massy,FRA,10,31,France,Europe
216613,2014,TGS ASA,Oslo,NOR,10,31,Norway,Europe
61616,2014,Eni SpA,Rome,ITA,10,28,Italy,Europe
101083,2014,Saipem SpA,Milan,ITA,10,27,Italy,Europe
220546,2014,Equinor ASA,Stavanger,NOR,10,23,Norway,Europe
2410,2014,BP plc,London,GBR,10,21,United Kingdom,Europe
270267,2014,Akastor ASA,Baerum,NOR,10,15,Norway,Europe
318426,2014,Aker Solutions ASA,Fornebu,NOR,10,14,Norway,Europe
12384,2014,Shell Plc,London,GBR,10,13,United Kingdom,Europe
17436,2014,BASF SE,Ludwigshafen am Rhein,DEU,15,872,Germany,Europe
295421,2014,Evonik Industries AG,Essen,DEU,15,196,Germany,Europe
102454,2014,DSM Firmenich AG,Kaiseraugst,CHE,15,194,Switzerland,Europe
241216,2014,"Syngenta AG, Basel",Basel,CHE,15,181,Switzerland,Europe
101394,2014,"Solvay SA, Bruxelles",Brussels,BEL,15,120,Belgium,Europe
277043,2014,Arkema,Colombes,FRA,15,115,France,Europe
241336,2014,Novonesis A/S,Bagsvaerd,DNK,15,109,Denmark,Europe
101202,2014,L'Air Liquide SA,Paris,FRA,15,105,France,Europe
220789,2014,Dyson Group PLC,Chesterfield,GBR,15,96,United Kingdom,Europe
276585,2014,Wacker Chemie AG,Munich,DEU,15,71,Germany,Europe
19349,2014,Siemens AG,Munich,DEU,20,1320,Germany,Europe
220833,2014,Airbus SE,Leiden,NLD,20,783,Netherlands,Europe
210418,2014,ABB Ltd,Zurich,CHE,20,375,Switzerland,Europe
100499,2014,Rolls Royce Holdings PLC,London,GBR,20,349,United Kingdom,Europe
4199,2014,Eaton Corporation plc,Dublin,IRL,20,330,Ireland,Europe
315541,2014,Osram Licht AG,Munich,DEU,20,250,Germany,Europe
13556,2014,Thales SA,Meudon,FRA,20,229,France,Europe
63477,2014,BAE Systems PLC,Camberley,GBR,20,182,United Kingdom,Europe
101811,2014,Compagnie de Saint Gobain S A,Courbevoie,FRA,20,179,France,Europe
210495,2014,SNECMA Ste National D'Etude Et De Construction De Moteurs D'Avion,NA,FRA,20,178,France,Europe
100609,2014,Continental AG,Hanover,DEU,25,322,Germany,Europe
100737,2014,Volkswagen AG,Wolfsburg,DEU,25,319,Germany,Europe
320124,2014,Schaeffler AG,Herzogenaurach,DEU,25,276,Germany,Europe
17828,2014,Mercedes Benz Group AG,Stuttgart,DEU,25,164,Germany,Europe
101277,2014,Compagnie Generale des Etablissements Michelin Societe en commandite par actions,Clermont-Ferrand,FRA,25,159,France,Europe
100022,2014,Bayerische Motoren Werke Aktiengesellschaft,Munich,DEU,25,149,Germany,Europe
102523,2014,Valeo SE,Paris,FRA,25,120,France,Europe
14620,2014,Electrolux AB,Stockholm,SWE,25,118,Sweden,Europe
27333,2014,Adient plc,Dublin,IRL,25,117,Ireland,Europe
64690,2014,Autoliv Inc,Stockholm,SWE,25,99,Sweden,Europe
100581,2014,LOreal SA,Clichy,FRA,30,186,France,Europe
16603,2014,"Nestle SA, Cham Und Vevey",Vevey,CHE,30,176,Switzerland,Europe
101942,2014,Henkel AG & Co KGaA,Dusseldorf,DEU,30,150,Germany,Europe
10846,2014,Unilever PLC,London,GBR,30,99,United Kingdom,Europe
324770,2014,Essity Aktiebolag,Stockholm,SWE,30,80,Sweden,Europe
221858,2014,Reckitt Benckiser Group PLC,Slough,GBR,30,58,United Kingdom,Europe
